away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name
46.7,7,7.5,3,105.3,69.7,23,0.34,50,0.3,15,0.6,30,0.733,22,11,200,74.7,24.2,8,16,56,,9.3,7,0.4,20,0.2,4,47.0,31,0.436,24.0,20,30,0.367,11,0.476,10,"January 26, 2019",64.3,18,20.0,6,74.7,75.8,25,0.517,60,0.467,28,0.4,24,0.708,17,4,200,105.3,30.3,10,21,79,,13.3,10,0.333,20,0.3,6,53.0,35,0.553,14.5,12,40,0.55,22,0.81,17,"Moody Coliseum , Abilene, Texas",CENTRAL-ARKANSAS,Central Arkansas,74.8,Home,ABILENE-CHRISTIAN,Abilene Christian
36.0,9,11.4,4,111.4,62.2,23,0.565,46,0.543,25,0.522,24,0.792,19,11,200,101.4,21.7,5,18,71,,11.4,8,0.217,10,0.2,2,46.7,28,0.618,25.1,19,36,0.639,23,0.45,9,"January 30, 2019",68.0,17,8.3,3,101.4,78.3,18,0.525,59,0.424,25,0.356,21,0.762,16,4,200,111.4,37.8,14,22,78,,17.1,12,0.407,24,0.5,12,53.3,32,0.565,17.0,14,35,0.371,13,0.818,18,"Moody Coliseum , Abilene, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,70.2,Home,ABILENE-CHRISTIAN,Abilene Christian
56.0,14,6.8,3,87.7,58.5,24,0.466,59,0.424,25,0.441,26,0.769,20,4,200,102.7,25.0,9,25,75,,9.6,7,0.254,15,0.333,5,42.9,33,0.526,12.4,10,44,0.455,20,0.826,19,"February 6, 2019",45.0,9,9.1,4,102.7,75.0,27,0.352,61,0.328,20,0.475,29,0.724,21,12,200,87.7,41.5,17,22,64,,2.7,2,0.279,17,0.176,3,57.1,44,0.428,16.9,15,44,0.386,17,0.478,11,"Montagne Center, Beaumont, Texas",LAMAR,Lamar,72.6,Away,ABILENE-CHRISTIAN,Abilene Christian
35.5,11,7.5,3,102.4,84.6,22,0.576,59,0.525,31,0.424,25,0.88,22,8,250,108.4,28.6,8,22,90,,12.0,10,0.373,22,0.273,6,55.6,30,0.635,21.3,19,37,0.676,25,0.667,16,"February 9, 2019",34.4,11,2.7,1,108.4,71.4,20,0.612,58,0.552,32,0.345,20,0.7,14,5,250,102.4,15.4,4,23,85,,7.2,6,0.31,18,0.389,7,44.4,24,0.63,23.0,20,40,0.625,25,0.792,19,"Moody Coliseum , Abilene, Texas",ABILENE-CHRISTIAN,Abilene Christian,66.2,Away,SAM-HOUSTON-STATE,Sam Houston State
62.5,15,9.4,3,71.6,88.6,31,0.433,60,0.4,24,0.233,14,0.857,12,5,200,95.5,18.8,6,12,64,,10.4,7,0.317,19,0.211,4,55.2,37,0.48,9.6,7,41,0.488,20,0.8,20,"February 13, 2019",43.8,7,7.3,3,95.5,81.3,26,0.343,54,0.296,16,0.241,13,0.846,11,13,200,71.6,11.4,4,14,48,,6.0,4,0.407,22,0.227,5,44.8,30,0.399,14.3,10,32,0.344,11,0.458,11,"David Stopher Gymnasium, Thibodaux, Louisiana",NICHOLLS-STATE,Nicholls State,66.9,Away,ABILENE-CHRISTIAN,Abilene Christian
61.5,16,10.7,3,76.2,90.0,18,0.567,52,0.5,26,0.231,12,0.75,9,5,200,107.9,28.0,7,18,68,,14.3,9,0.442,23,0.304,7,55.6,25,0.589,17.3,12,29,0.655,19,0.808,21,"February 16, 2019",47.1,8,10.3,3,107.9,72.0,18,0.463,41,0.415,17,0.293,12,0.833,10,19,200,76.2,10.0,2,18,48,,6.3,4,0.317,13,0.308,4,44.4,20,0.514,29.1,19,28,0.464,13,0.24,6,"McDermott Center, San Antonio, Texas",INCARNATE-WORD,Incarnate Word,63.2,Away,ABILENE-CHRISTIAN,Abilene Christian
60.0,15,3.3,1,103.1,73.5,25,0.537,54,0.463,25,0.426,23,0.739,17,14,200,117.2,53.6,15,18,75,,10.9,7,0.389,21,0.381,8,64.5,40,0.578,17.9,14,33,0.515,17,0.5,14,"February 23, 2019",61.9,13,12.1,4,117.2,46.4,13,0.463,54,0.389,21,0.389,21,0.762,16,6,200,103.1,26.5,9,21,66,,10.9,7,0.444,24,0.333,8,35.5,22,0.516,12.5,9,30,0.433,13,0.778,21,"Moody Coliseum , Abilene, Texas",ABILENE-CHRISTIAN,Abilene Christian,64.0,Away,SOUTHEASTERN-LOUISIANA,Southeastern Louisiana
68.2,15,0.0,0,97.0,65.6,21,0.481,54,0.407,22,0.574,31,0.677,21,6,200,110.6,30.3,10,16,73,,16.7,11,0.463,25,0.32,8,47.7,31,0.531,9.4,7,29,0.483,14,0.786,22,"February 27, 2019",50.0,13,10.3,3,110.6,69.7,23,0.518,56,0.464,26,0.25,14,0.429,6,17,200,97.0,34.4,11,20,64,,4.5,3,0.339,19,0.316,6,52.3,34,0.511,19.4,15,37,0.541,20,0.393,11,"American Bank Center, Corpus Christi, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,66.2,Away,ABILENE-CHRISTIAN,Abilene Christian
66.7,18,0.0,0,83.3,73.7,28,0.533,60,0.45,27,0.05,3,1.0,3,6,200,101.5,13.8,4,13,67,,12.1,8,0.4,24,0.417,10,47.8,32,0.545,12.8,9,36,0.472,17,0.793,23,"March 2, 2019",69.6,16,19.4,7,101.5,86.2,25,0.449,59,0.39,23,0.119,7,0.286,2,18,200,83.3,26.3,10,8,55,,6.1,4,0.322,19,0.368,7,52.2,35,0.441,17.3,13,40,0.4,16,0.379,11,"Jeff Farris Center, Conway, Arkansas",CENTRAL-ARKANSAS,Central Arkansas,65.9,Away,ABILENE-CHRISTIAN,Abilene Christian
27.3,6,10.3,3,110.8,71.0,22,0.439,57,0.386,22,0.193,11,0.727,8,15,200,89.2,20.6,7,22,58,,4.6,3,0.316,18,0.333,6,44.6,29,0.466,13.9,10,39,0.41,16,0.483,14,"March 5, 2019",75.0,18,12.8,5,89.2,79.4,27,0.509,55,0.436,24,0.418,23,0.696,16,6,200,110.8,29.0,9,14,72,,7.7,5,0.473,26,0.308,8,55.4,36,0.546,10.9,8,29,0.552,16,0.8,24,"Moody Coliseum , Abilene, Texas",STEPHEN-F-AUSTIN,Stephen F. Austin,65.1,Home,ABILENE-CHRISTIAN,Abilene Christian
